variant_id,professor_id,variant_name,source,match_confidence
177,1335,Xinru Page,courses.json,0.9
178,313,Darin Gates,courses.json,0.9
179,1453,Craig Earnshaw,courses.json,0.9
180,1925,Ryan Farrell,courses.json,0.9
181,1452,Bruce Webster,courses.json,0.9
182,1668,Porter Jenkins,courses.json,0.9
183,2163,Parris Egbert,courses.json,0.9
184,1038,Fred Clift,courses.json,0.9
185,1577,Kent Seamons,courses.json,0.9
186,1511,David Wingate,courses.json,0.9
187,584,Daniel Zappala,courses.json,0.9
188,1199,Nancy Fulda,courses.json,0.9
189,2284,Lane Muranaka,courses.json,0.9
190,2957,Sean Warnick,courses.json,0.9
191,1504,Michael Goodrich,courses.json,0.9
192,4202,Eric Ringger,courses.json,0.9
193,1382,Amy Williams,courses.json,0.9
194,1209,Dan Ames,courses.json,0.9
195,517,Michael Bown,courses.json,0.9
196,100,Andrew South,courses.json,0.9
197,2030,Jim Nelson,courses.json,0.9
198,648,Stephanie Magleby,courses.json,0.9
199,1793,Jeremy Dye,courses.json,0.9
200,296,Brian Capt,courses.json,0.9
201,849,Harold Mitchell,courses.json,0.9
202,228,Paul Richards,courses.json,0.9
203,1296,Taylor Sorensen,courses.json,0.9
204,2278,Gustavious Williams,courses.json,0.9
205,855,Tenli Emery,courses.json,0.9
206,1630,W. Spencer Guthrie,courses.json,0.9
207,260,Emily Platt,courses.json,0.9
208,422,James Halgren,courses.json,0.9
209,1273,Clifton Farnsworth,courses.json,0.9
210,230,Kendrick Shepherd,courses.json,0.9
211,2663,Kyle Rollins,courses.json,0.9
212,564,Darrell Sonntag,courses.json,0.9
213,1609,Gregory Macfarlane,courses.json,0.9
214,1384,Rollin Hotchkiss,courses.json,0.9
215,504,Rob Sowby,courses.json,0.9
216,2147,Johnn Judd,courses.json,0.9
217,2369,Randy Lewis,courses.json,0.9
218,1794,Andrea Merriman,courses.json,0.9
219,2077,Alan Zundel,courses.json,0.9
220,2255,Norm Jones,courses.json,0.9
221,4657,Steven Lord,courses.json,0.9
222,1983,Grant Schultz,courses.json,0.9
223,314,Juan Arroyo,courses.json,0.9
224,957,Jeffery Barrow,courses.json,0.9
225,307,Stephanie Reynolds,courses.json,0.9
226,57,Shalene Wilcox,courses.json,0.9
227,189,Jared Barrott,courses.json,0.9
228,128,Michael Stark,courses.json,0.9
229,416,Amber Gonda,courses.json,0.9
230,238,Jason Adams,courses.json,0.9
231,42,Mike Diede,courses.json,0.9
232,1866,Arminda Suli,courses.json,0.9
233,1259,Paul Reynolds,courses.json,0.9
234,782,Jonathon Hill,courses.json,0.9
235,1048,Benjamin Bikman,courses.json,0.9
236,2065,Jeff Edwards,courses.json,0.9
237,1091,Seth Taylor,courses.json,0.9
238,885,Robert Ryley Parrish,courses.json,0.9
239,720,Jason Hansen,courses.json,0.9
240,723,Sterling Sudweeks,courses.json,0.9
241,1440,Dixon Woodbury,courses.json,0.9
242,258,David Thomson,courses.json,0.9
243,21,Timothy Jenkins,courses.json,0.9
244,200,Melissa Hansen,courses.json,0.9
245,517,Mike Brown,courses.json,0.9
246,3203,Jason Jay,courses.json,0.9
247,1274,James Smith,courses.json,0.9
248,172,Justin Weidman,courses.json,0.9
249,1715,Evan Bingham,courses.json,0.9
250,1716,Brett Heywood,courses.json,0.9
251,1399,Matt Wheelwright,courses.json,0.9
252,1841,Adam Cuppett,courses.json,0.9
253,311,Allan Guymon,courses.json,0.9
254,1073,Dongjin Seo,courses.json,0.9
255,802,Clint Guymon,courses.json,0.9
256,803,Bill Pitt,courses.json,0.9
257,2370,Andrew Fry,courses.json,0.9
258,1488,Tommy Knotts,courses.json,0.9
259,2673,Stephanie Argyle,courses.json,0.9
260,2461,Morris Argyle,courses.json,0.9
261,2172,Matthew Memmott,courses.json,0.9
262,1241,John Hedengren,courses.json,0.9
263,4022,Vincent Wilding,courses.json,0.9
264,801,Larry Baxter,courses.json,0.9
265,1502,Devin Rappleye,courses.json,0.9
266,1739,Doug Tree,courses.json,0.9
